,id,post_id,user_id,rating_percent,rated_at,category,title,genre,mood,username
0,1,516,1,64,2024-01-11 12:45:41,Vible,untitled_video,Religious / Inspirational,"['Awe', 'Reverence', 'Strength', 'Benevolence']",afrobeezy
1,2,160,1,62,2024-01-11 12:47:15,Vible,untitled_video,Artistic Narrative/Short Film,"['Contemplative', 'Somber', 'Vulnerable']",afrobeezy
2,3,19,1,20,2024-01-11 12:47:28,Vible,WE ARE MADE OF STARS,Educational/Documentary,"['wonder', 'curiosity', 'reflection', 'passion']",afrobeezy
3,4,148,1,100,2024-01-11 12:49:35,Vible,untitled_video,motivational/reflective,"['calmness', 'thoughtfulness', 'optimism', 'gratefulness', 'serenity']",afrobeezy
4,5,513,1,63,2024-01-11 12:50:58,Vible,untitled_video,animated spiritual narrative,"['determination', 'strength', 'courage']",afrobeezy
5,6,583,1,77,2024-01-11 12:51:32,Vible,untitled_video,Motivational/Inspirational,"['hope', 'determination', 'vulnerability', 'solitude', 'reflective mood']",afrobeezy
6,7,546,1,57,2024-01-15 19:46:18,Vible,untitled_video,Spiritual/Devotional,"['Tranquility', 'Reassurance', 'Calmness', 'Strength', 'Fearlessness']",afrobeezy
7,8,142,5,100,2024-01-16 02:30:59,Vible,untitled_video,philosophical narrative,"['determination', 'introspection', 'resignation', 'defiance']",kinha
8,9,153,1,64,2024-01-16 10:27:42,Vible,untitled_video,Technical Overview,"['frustration', 'confusion', 'concern']",afrobeezy
9,10,152,1,43,2024-01-16 11:59:56,Vible,untitled_video,Educational,"['analyzing', 'curiosity', 'evaluation']",afrobeezy
10,11,629,1,19,2024-01-16 12:11:14,Vible,untitled_video,Motivational Sports Documentary,Unknown,afrobeezy
11,12,14,1,54,2024-01-16 12:14:50,Vible,Peak Performance?,Motivational/Self-help,"['excitement', 'passion', 'contemplation']",afrobeezy
12,13,164,1,100,2024-01-16 12:47:44,Vible,untitled_video,epic narrative,"['fierceness', 'contemplation', 'determination', 'intensity']",afrobeezy
13,14,549,1,79,2024-01-16 12:48:05,Vible,untitled_video,Narrative/Inspirational,"['contemplative', 'determined', 'tense', 'reflective', 'empowered']",afrobeezy
14,15,633,1,60,2024-01-16 13:02:49,Vible,The Perspective Limiter.,Documentary,Unknown,afrobeezy
15,16,16,1,28,2024-01-16 15:33:08,Vible,act now!,Technical Tutorial,"['frustration', 'confusion']",afrobeezy
16,17,558,1,54,2024-01-16 17:40:14,Vible,untitled_video,Narrative Art Documentary,Unknown,afrobeezy
